id	name	category1	category2	category3	category4
1	3D naočare za endoskopiju	09 - Instrumenti za višekratnu upotrebu			
2	Aberometar	03 - Dentalna medicinska sredstva			
3	Adapter aparata za neurostimulaciju	05 - Bolnička, aparaturna oprema	04 - Elektro-mehanička medicinska sredstva	09 - Instrumenti za višekratnu upotrebu	10 - Medicinska sredstva za jednokratnu upotrebu
4	Adapter elektrode za neuromonitoring	05 - Bolnička, aparaturna oprema	04 - Elektro-mehanička medicinska sredstva	09 - Instrumenti za višekratnu upotrebu	10 - Medicinska sredstva za jednokratnu upotrebu
5	Adapter epruvete za uzorkovanje krvi	10 - Medicinska sredstva za jednokratnu upotrebu	06 - "In vitro" dijagnostička medicinska sredstva		
6	Adapter generatora za radiofrekventnu ablaciju	09 - Instrumenti za višekratnu upotrebu	10 - Medicinska sredstva za jednokratnu upotrebu	05 - Bolnička, aparaturna oprema	04 - Elektro-mehanička medicinska sredstva
7	Adapter grejača gasa za insuflator	09 - Instrumenti za višekratnu upotrebu	10 - Medicinska sredstva za jednokratnu upotrebu	05 - Bolnička, aparaturna oprema	04 - Elektro-mehanička medicinska sredstva
8	Adapter hirurškog instrumenta za oftalmološki aparat	08 - Oftalmološka i optička medicinska sredstva	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu	
9	Adapter i produžnik za pejsing elektrodu, set	01 - Aktivna implantabilna medicinska sredstva			
10	Adapter inhalacionog sistema	02 - Anestezijska i respiratorna medicinska sredstva	09 - Instrumenti za višekratnu upotrebu	10 - Medicinska sredstva za jednokratnu upotrebu	
11	Adapter kapilare za uzorkovanje krvi	06 - "In vitro" dijagnostička medicinska sredstva			
12	Adapter katetera za angiografiju	10 - Medicinska sredstva za jednokratnu upotrebu			
13	Adapter katetera za peritonealnu dijalizu	10 - Medicinska sredstva za jednokratnu upotrebu			
14	Adapter linije za dovod gasa za insuflator	09 - Instrumenti za višekratnu upotrebu	10 - Medicinska sredstva za jednokratnu upotrebu		
15	Adapter linije za injektovanje kontrasta	10 - Medicinska sredstva za jednokratnu upotrebu			
16	Adapter linije za sukciju	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
17	Adapter linije za sukciju i irigaciju	09 - Instrumenti za višekratnu upotrebu			
18	Adapter raspršivača za inhalacionu terapiju	02 - Anestezijska i respiratorna medicinska sredstva			
19	Adapter reduktora spinalne šipke, hirurški instrument, ortopedija	09 - Instrumenti za višekratnu upotrebu			
20	Adapter sa elektrodom za neuromonitoring	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu	05 - Bolnička, aparaturna oprema	04 - Elektro-mehanička medicinska sredstva
21	Adapter sa hemostatskom valvulom, za uvođenje vodič žice, za kateterizaciju	10 - Medicinska sredstva za jednokratnu upotrebu			
22	Adapter sistema za aplikaciju leka	10 - Medicinska sredstva za jednokratnu upotrebu			
23	Adapter sistema za drenažu	10 - Medicinska sredstva za jednokratnu upotrebu			
24	Adapter sistema za embolizaciju	10 - Medicinska sredstva za jednokratnu upotrebu			
25	Adapter sistema za enteralnu ishranu	10 - Medicinska sredstva za jednokratnu upotrebu			
26	Adapter sistema za prenos krvi	06 - "In vitro" dijagnostička medicinska sredstva			
27	Adapter sonde za neuromonitoring	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu	05 - Bolnička, aparaturna oprema	04 - Elektro-mehanička medicinska sredstva
28	Adapter sonde za ultrazvučni aparat	09 - Instrumenti za višekratnu upotrebu	10 - Medicinska sredstva za jednokratnu upotrebu	12 - Dijagnostička i terapeutska medicinska sredstva u radiologiji	
29	Adapter za alarm sistema za stimulaciju rada srca	01 - Aktivna implantabilna medicinska sredstva			
30	Adapter za analizator parametara pejsmejkera i defibrilatora tokom implantacije	09 - Instrumenti za višekratnu upotrebu			
31	Adapter za antidekubitni dušek	11 - Tehnička sredstva za hendikepirana lica			
32	Adapter za aplikaciju citostatika	10 - Medicinska sredstva za jednokratnu upotrebu			
33	Adapter za apsorber ugljen-dioksida u anesteziji	02 - Anestezijska i respiratorna medicinska sredstva	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu	
34	Adapter za biopsiju, za ultrazvučnu sondu	12 - Dijagnostička i terapeutska medicinska sredstva u radiologiji	05 - Bolnička, aparaturna oprema	09 - Instrumenti za višekratnu upotrebu	10 - Medicinska sredstva za jednokratnu upotrebu
35	Adapter za cev, protetska komponenta	11 - Tehnička sredstva za hendikepirana lica			
36	Adapter za cev, protetska komponenta, set	11 - Tehnička sredstva za hendikepirana lica			
37	Adapter za crevo injektora kontrastnog sredstva 	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
38	Adapter za čišćenje hirurškog instrumenta	09 - Instrumenti za višekratnu upotrebu			
39	Adapter za čišćenje radnog kanala endoskopa	09 - Instrumenti za višekratnu upotrebu			
40	Adapter za dentalni instrument	03 - Dentalna medicinska sredstva	09 - Instrumenti za višekratnu upotrebu	10 - Medicinska sredstva za jednokratnu upotrebu	
41	Adapter za dršku za linearni stapler	09 - Instrumenti za višekratnu upotrebu			
42	Adapter za elektrodu, elektrohirurški instrument	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu	04 - Elektro-mehanička medicinska sredstva	05 - Bolnička, aparaturna oprema
43	Adapter za elektrofiziološki sistem	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
44	Adapter za elektrofiziološki sistem, set	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
45	Adapter za elektrohirurški generator	05 - Bolnička, aparaturna oprema	09 - Instrumenti za višekratnu upotrebu	10 - Medicinska sredstva za jednokratnu upotrebu	04 - Elektro-mehanička medicinska sredstva
46	Adapter za elektrohirurški instrument	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu	04 - Elektro-mehanička medicinska sredstva	05 - Bolnička, aparaturna oprema
47	Adapter za gedoru, hirurški instrument, stomatologija	03 - Dentalna medicinska sredstva	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu	
97	Adapter za rezervoar sistema za aspiraciju	10 - Medicinska sredstva za jednokratnu upotrebu			
48	Adapter za govorni aparat	04 - Elektro-mehanička medicinska sredstva	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu	
49	Adapter za hirurški instrument, endoskopija	04 - Elektro-mehanička medicinska sredstva	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu	
50	Adapter za hirurški instrument, laparoskopija	04 - Elektro-mehanička medicinska sredstva	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu	
